TagName,TagCount,ClassName,IdName
html,1,,
head,1,,
title,1,,
base,0,,
link,1,,
style,0,,
meta,1,,
body,1,,
article,0,,
section,0,,
nav,0,,
aside,0,,
h1,1,,title
h6,0,,
hgroup,0,,
header,1,clearfix,header
footer,0,,
address,0,,
p,0,,
hr,0,,
pre,0,,
blockquote,0,,
ol,1,,num-list
ul,1,item-list,
li,5,item/text/item-margin/item/text,item-text-word
dl,0,,
dt,0,,
dd,0,,
figure,0,,
figcaption,0,,
main,0,,
div,10,clearfix/clearfix/show-items/csv-area/csv-area/clearfix,description-area/file-area/heading-area/switch-form/item-text/file-items/code-items/main-area
a,3,switch/selected-form/heading-item/switch/heading-item,title-logo-area/file-show/code-show
em,0,,
strong,0,,
small,0,,
s,0,,
cite,0,,
q,0,,
dfn,0,,
abbr,0,,
code,0,,
var,0,,
samp,0,,
kbd,0,,
data,0,,
sub,0,,
sup,0,,
time,0,,
i,0,,
b,0,,
u,0,,
mark,0,,
ruby,0,,
rb,0,,
rt,0,,
rtc,0,,
rp,0,,
bdi,0,,
bdo,0,,
span,1,,label-text
br,0,,
wbr,0,,
ins,0,,
del,0,,
img,1,,logo-image
picture,0,,
iframe,0,,
embed,0,,
object,0,,
param,0,,
video,0,,
audio,0,,
track,0,,
source,0,,
map,0,,
area,0,,
table,0,,
caption,0,,
colgroup,0,,
col,0,,
tbody,0,,
thead,0,,
tfoot,0,,
tr,0,,
td,0,,
th,0,,
form,1,,item-form
fieldset,0,,
legend,0,,
label,1,item/item-margin,item-label
input,5,item,file-data/file-default-check/code-default-check
select,0,,
option,0,,
optgroup,0,,
textarea,1,,code-data
button,1,item,submit-btn
datalist,0,,
keygen,0,,
output,0,,
progress,0,,
meter,0,,
script,2,,
noscript,0,,
template,0,,
canvas,0,,
details,0,,
summary,0,,
menu,0,,
menuitem,0,,
command,0,,
